Dataset,threshold,parallelism,max n-ary,relations,attributes,unary,n-ary,attributes_per_layer,candidates_per_layer,pINDs_per_layer,CHUNK_SIZE,SORT_SIZE,MERGE_SIZE,VALIDATION_SIZE,total_time,sort_times,merge_times,validate_times,generate_times,CHUNK_FILES,SORT_FILES,MERGE_FILES,use_filter,refine_filter
data.gov,1.0,8,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",4644264,13616490,1696,271705,142102,"[11741, 13660, 29744, 29379, 24440, 12438, 1215]","[2921, 395, 644, 860, 713, 182, 2]","[2372, 167, 67, 93, 66, 24, 4]","[75, 222, 618, 266, 101, 11, 0]",43,165,34,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],4644264,13616490,1696,271705,41117,[16901],[7964],[4093],,30,30,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5941048,14887290,875,479149,49776,"[16807, 3951, 1722, 182, 78, 4]","[5310, 133, 573, 39, 9, 0]","[3352, 293, 363, 89, 31, 5]","[95, 137, 48, 24, 7, 1]",54,112,85,True,True
data.gov,1.0,4,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5941048,14887290,875,479149,206133,"[17152, 20569, 43671, 45129, 40603, 18138, 2168]","[3118, 332, 539, 729, 616, 157, 1]","[2433, 152, 75, 90, 85, 26, 5]","[55, 223, 591, 327, 130, 13, 0]",37,134,34,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],5941048,14887290,875,479149,44467,[20836],[7419],[4337],,26,26,8,True,True
european union,1.0,2,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11958272,7520708,1886,337492,57344,"[21126, 6738, 1729, 183, 77, 5]","[5564, 144, 600, 43, 10, 1]","[3429, 275, 572, 85, 34, 5]","[93, 96, 138, 32, 6, 1]",44,96,85,True,True
data.gov,1.0,2,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",11958272,7520708,1886,337492,345182,"[27928, 36287, 78186, 79447, 67106, 31865, 4112]","[2601, 231, 427, 612, 558, 147, 2]","[2916, 220, 92, 135, 112, 35, 4]","[52, 172, 520, 438, 193, 20, 0]",24,77,34,True,True
TPCH_1,1.0,2,1,8,61,96,0,[61],[3660],[96],11958272,7520708,1886,337492,56972,[33268],[6714],[4558],,17,17,8,True,True
european union,1.0,12,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12338446,15059023,1849,91636,46749,"[14044, 3231, 1854, 172, 85, 5]","[5500, 144, 558, 40, 10, 1]","[3422, 287, 346, 91, 30, 4]","[94, 123, 181, 34, 5, 0]",44,96,85,True,True
data.gov,1.0,12,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",12338446,15059023,1849,91636,206360,"[13665, 15392, 43881, 48313, 43475, 20714, 2450]","[2844, 250, 391, 539, 487, 128, 1]","[2555, 163, 81, 85, 66, 24, 5]","[63, 210, 478, 347, 98, 12, 0]",24,77,34,True,True
TPCH_1,1.0,12,1,8,61,96,0,[61],[3660],[96],12338446,15059023,1849,91636,52869,[29284],[6473],[4456],,16,16,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",6045779,7718605,634,282752,48889,"[15622, 3261, 1800, 193, 82, 4]","[5649, 139, 601, 38, 9, 1]","[3642, 302, 324, 86, 30, 5]","[97, 129, 182, 28, 6, 1]",54,112,85,True,True
data.gov,1.0,7,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",6045779,7718605,634,282752,153152,"[16922, 13910, 31349, 31962, 23795, 14256, 1319]","[2900, 338, 605, 801, 680, 189, 2]","[2752, 169, 82, 92, 65, 23, 4]","[58, 216, 470, 243, 137, 15, 0]",36,132,34,True,True
