Dataset,threshold,parallelism,max n-ary,relations,attributes,unary,n-ary,attributes_per_layer,candidates_per_layer,pINDs_per_layer,CHUNK_SIZE,SORT_SIZE,MERGE_SIZE,VALIDATION_SIZE,total_time,sort_times,merge_times,validate_times,generate_times,CHUNK_FILES,SORT_FILES,MERGE_FILES,use_filter,refine_filter
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],8796745,755705,1939,800633,43828,[17074],[9467],[4733],,19,38,8,True,True
european union,1.0,5,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",3513790,34543039,1615,747122,49011,"[16142, 3213, 1801, 174, 76, 5]","[5311, 130, 584, 38, 11, 1]","[3382, 286, 369, 83, 27, 5]","[91, 127, 43, 22, 5, 1]",67,133,85,True,True
data.gov,1.0,5,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",3513790,34543039,1615,747122,47196,"[14399, 17464]","[3053, 470]","[2590, 149]",[63],53,99,25,True,True
TPCH_1,1.0,5,1,8,61,96,0,[61],[3660],[96],3513790,34543039,1615,747122,46675,[19863],[10261],[4579],,39,39,8,True,True
european union,1.0,2,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8354698,4862525,275,44553,56548,"[21233, 6472, 1795, 183, 76, 4]","[5270, 164, 625, 40, 10, 1]","[3334, 241, 458, 80, 34, 5]","[87, 105, 134, 36, 6, 0]",49,104,85,True,True
data.gov,1.0,2,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",8354698,4862525,275,44553,79096,"[27216, 36120]","[2748, 281]","[2765, 183]",[53],30,53,25,True,True
TPCH_1,1.0,2,1,8,61,96,0,[61],[3660],[96],8354698,4862525,275,44553,58468,[34366],[7080],[4668],,20,20,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1634725,22393082,453,12557,47381,"[15283, 2625, 1910, 168, 81, 4]","[5561, 131, 551, 38, 9, 1]","[3538, 281, 326, 81, 28, 4]","[92, 128, 41, 22, 6, 1]",106,194,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1634725,22393082,453,12557,38515,"[10642, 12146]","[3241, 802]","[2453, 176]",[59],101,195,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],1634725,22393082,453,12557,41770,[14312],[11538],[3839],,77,77,10,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1102815,8139696,1935,252326,48387,"[15597, 2973, 1842, 188, 78, 4]","[5332, 143, 572, 49, 11, 1]","[3436, 290, 308, 93, 29, 7]","[93, 125, 44, 24, 5, 1]",141,250,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1102815,8139696,1935,252326,41845,"[11079, 14053]","[3610, 980]","[2306, 148]",[56],143,279,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],1102815,8139696,1935,252326,43607,[15413],[10911],[4016],,112,112,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11163792,38801099,392,846829,46828,"[15041, 2895, 1826, 183, 82, 4]","[5469, 134, 521, 42, 9, 1]","[3372, 280, 371, 91, 29, 5]","[93, 128, 40, 28, 5, 0]",46,100,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11163792,38801099,392,846829,47202,"[16798, 15063]","[2822, 250]","[2564, 165]",[59],27,47,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],11163792,38801099,392,846829,44184,[20155],[6741],[4723],,17,17,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",3616720,33160946,989,156792,47835,"[15370, 2960, 1957, 209, 85, 5]","[5370, 136, 606, 39, 10, 1]","[3400, 280, 330, 91, 30, 6]","[91, 129, 41, 25, 5, 0]",66,132,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",3616720,33160946,989,156792,40385,"[11595, 13195]","[3009, 486]","[2661, 259]",[56],52,97,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],3616720,33160946,989,156792,40919,[16038],[8091],[4273],,38,38,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",303179,24257115,142,568852,44625,"[11716, 3211, 1874, 166, 80, 4]","[5437, 149, 600, 41, 10, 1]","[3398, 305, 325, 86, 29, 5]","[91, 142, 40, 25, 6, 0]",431,709,114,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",303179,24257115,142,568852,46548,"[12386, 15734]","[4628, 989]","[2409, 188]",[55],490,971,71,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],303179,24257115,142,568852,44792,[16802],[10052],[4367],,389,389,24,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4777502,15211845,1977,550949,49198,"[16690, 2796, 1770, 179, 86, 4]","[5392, 132, 570, 38, 10, 1]","[3368, 306, 409, 87, 30, 5]","[94, 136, 187, 26, 5, 0]",58,119,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",4777502,15211845,1977,550949,42249,"[12965, 13628]","[3113, 375]","[2670, 154]",[63],42,77,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],4777502,15211845,1977,550949,40850,[16443],[7924],[4283],,30,30,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11186383,2662730,1339,370085,52365,"[17007, 4994, 1853, 168, 85, 5]","[5570, 127, 820, 39, 13, 1]","[3481, 270, 391, 91, 29, 5]","[98, 134, 191, 24, 6, 1]",46,101,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11186383,2662730,1339,370085,54230,"[19136, 19456]","[2851, 262]","[2720, 164]",[60],27,47,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],11186383,2662730,1339,370085,47029,[23541],[6594],[4610],,17,18,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4515982,29726076,918,474198,47628,"[15136, 3055, 1712, 165, 78, 5]","[5360, 131, 620, 39, 10, 1]","[3339, 399, 334, 88, 36, 5]","[103, 134, 205, 24, 6, 1]",61,124,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",4515982,29726076,918,474198,42246,"[12599, 14053]","[3195, 413]","[2482, 157]",[59],44,81,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],4515982,29726076,918,474198,41204,[16447],[7904],[4455],,31,31,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",9455020,2670794,422,260316,47284,"[14966, 2668, 1923, 172, 83, 0]","[5518, 117, 832, 50, 0, 0]","[3522, 291, 321, 82, 42, 0]","[125, 120, 175, 133, 9, 0]",47,102,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",9455020,2670794,422,260316,42500,"[13762, 12906]","[2914, 252]","[2365, 206]",[55],28,49,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],9455020,2670794,422,260316,41638,[18278],[6962],[4324],,19,20,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12076200,20991566,388,924808,48605,"[15022, 3284, 1994, 202, 92, 4]","[5553, 134, 620, 40, 11, 1]","[3462, 293, 355, 83, 33, 5]","[102, 129, 40, 22, 5, 1]",44,96,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12076200,20991566,388,924808,48931,"[18684, 14629]","[2948, 274]","[2759, 146]",[63],24,41,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],12076200,20991566,388,924808,44974,[20828],[6682],[4534],,16,16,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",3967869,30889399,134,907816,46366,"[14870, 2495, 1878, 183, 78, 4]","[5593, 126, 541, 40, 10, 1]","[3354, 287, 331, 89, 30, 5]","[94, 129, 41, 20, 5, 0]",63,127,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",3967869,30889399,134,907816,41482,"[11674, 11930]","[4411, 476]","[2908, 172]",[63],48,89,29,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],3967869,30889399,134,907816,41353,[15713],[8689],[4470],,36,36,10,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13981282,24674966,30,949016,49780,"[15936, 4520, 1910, 160, 88, 4]","[5437, 133, 579, 38, 10, 1]","[3418, 283, 404, 99, 31, 5]","[95, 131, 211, 27, 7, 1]",44,96,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13981282,24674966,30,949016,52853,"[17831, 20420]","[2512, 200]","[2844, 153]",[66],23,39,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],13981282,24674966,30,949016,46861,[22459],[7790],[4480],,14,14,9,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14253887,25666233,1114,390008,46660,"[13888, 3409, 1913, 178, 88, 4]","[5560, 131, 561, 38, 10, 1]","[3421, 257, 314, 91, 33, 5]","[91, 124, 178, 23, 5, 0]",44,96,85,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",14253887,25666233,1114,390008,52774,"[21335, 16035]","[2586, 226]","[2633, 178]",[67],23,39,25,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],14253887,25666233,1114,390008,52089,[28616],[6838],[4213],,14,14,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7302710,37047995,1209,918734,49694,"[16574, 3315, 1847, 185, 78, 4]","[5463, 129, 535, 41, 10, 1]","[3435, 287, 385, 92, 29, 5]","[90, 128, 40, 24, 5, 0]",51,108,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7302710,37047995,1209,918734,45866,"[16256, 13748]","[3091, 333]","[2692, 146]",[70],33,59,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],7302710,37047995,1209,918734,41752,[17513],[7136],[4746],,22,22,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5938262,5061917,1927,135080,54790,"[19109, 5266, 1896, 170, 96, 4]","[5249, 154, 709, 40, 12, 1]","[3370, 269, 403, 84, 49, 20]","[90, 113, 45, 41, 6, 0]",54,112,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",5938262,5061917,1927,135080,61048,"[20700, 24927]","[2860, 344]","[2727, 177]",[53],37,67,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],5938262,5061917,1927,135080,50739,[26637],[7746],[4162],,26,26,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7597291,33086348,45,15020,45574,"[14462, 2384, 1835, 186, 78, 4]","[5270, 129, 568, 39, 10, 1]","[3550, 317, 315, 84, 27, 5]","[96, 125, 40, 27, 5, 0]",49,104,91,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7597291,33086348,45,15020,39176,"[11381, 11541]","[3759, 389]","[2611, 194]",[68],30,53,33,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],7597291,33086348,45,15020,42919,[16189],[10411],[3893],,21,21,13,True,True
european union,1.0,2,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2663539,32381533,665,344737,58620,"[21705, 6887, 1959, 170, 78, 5]","[5429, 154, 587, 38, 9, 1]","[3655, 282, 505, 78, 30, 7]","[93, 86, 65, 25, 8, 0]",79,151,85,True,True
data.gov,1.0,2,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2663539,32381533,665,344737,86788,"[26041, 33597]","[2924, 552]","[2837, 175]",[52],67,127,25,True,True
TPCH_1,1.0,2,1,8,61,96,0,[61],[3660],[96],2663539,32381533,665,344737,61478,[35279],[9258],[4637],,50,50,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14103110,33790930,1165,905392,45594,"[13782, 3097, 1825, 198, 79, 4]","[5413, 124, 537, 38, 9, 1]","[3371, 308, 311, 89, 29, 5]","[93, 137, 39, 23, 5, 0]",44,96,85,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",14103110,33790930,1165,905392,52460,"[21151, 15931]","[2872, 203]","[2636, 151]",[72],23,39,25,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],14103110,33790930,1165,905392,40831,[17689],[6017],[4776],,14,14,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",6911707,11435897,1094,490254,46590,"[14260, 2787, 1927, 166, 87, 4]","[5388, 127, 621, 37, 9, 1]","[3386, 303, 341, 89, 31, 5]","[91, 129, 40, 23, 5, 0]",52,109,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",6911707,11435897,1094,490254,43307,"[15385, 12044]","[2883, 336]","[2817, 168]",[59],34,61,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],6911707,11435897,1094,490254,39605,[15336],[7438],[4470],,22,22,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8996677,17352717,33,807361,48019,"[16054, 2850, 1895, 168, 78, 4]","[5390, 123, 551, 39, 10, 1]","[3425, 305, 366, 82, 28, 5]","[94, 137, 38, 21, 5, 0]",48,103,91,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",8996677,17352717,33,807361,46133,"[16401, 13425]","[3721, 377]","[2828, 167]",[58],29,51,33,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],8996677,17352717,33,807361,41793,[17323],[7741],[4463],,19,19,11,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4745791,7368568,1786,787929,49223,"[16834, 2748, 1770, 188, 79, 4]","[5445, 131, 529, 47, 9, 1]","[3381, 295, 374, 95, 27, 6]","[95, 131, 46, 21, 6, 0]",59,120,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",4745791,7368568,1786,787929,43218,"[12741, 14502]","[2998, 400]","[2596, 153]",[71],42,77,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],4745791,7368568,1786,787929,42096,[16776],[8133],[4603],,30,30,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",9190167,27165963,110,918602,48947,"[15657, 3592, 1880, 165, 83, 4]","[5494, 140, 582, 38, 10, 1]","[3349, 289, 365, 87, 28, 5]","[93, 134, 47, 27, 5, 0]",47,101,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",9190167,27165963,110,918602,49630,"[18754, 16034]","[2986, 261]","[2481, 172]",[59],29,51,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],9190167,27165963,110,918602,41353,[17683],[6635],[4694],,19,19,8,True,True
european union,1.0,5,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",31020,38951604,1954,604716,43864,"[8919, 3735, 1388, 103, 44, 5]","[5917, 242, 844, 47, 12, 1]","[3398, 286, 354, 106, 32, 5]","[95, 130, 194, 26, 5, 0]",3933,6267,101,True,True
data.gov,1.0,5,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",31020,38951604,1954,604716,58097,"[12117, 19853]","[7695, 3177]","[2473, 131]",[52],4688,9337,47,True,True
TPCH_1,1.0,5,1,8,61,96,0,[61],[3660],[96],31020,38951604,1954,604716,47795,[14432],[12117],[4561],,3765,3765,18,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12436966,11430196,1150,586834,47752,"[15664, 2990, 1892, 169, 78, 4]","[5442, 126, 624, 39, 10, 1]","[3359, 310, 387, 85, 28, 5]","[96, 131, 41, 26, 5, 1]",44,96,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12436966,11430196,1150,586834,51208,"[20937, 14920]","[2817, 219]","[2553, 162]",[64],24,41,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],12436966,11430196,1150,586834,43195,[19646],[6620],[4569],,16,16,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11256576,27925309,1717,864480,47656,"[14997, 3337, 1892, 183, 95, 4]","[5412, 130, 568, 39, 10, 1]","[3454, 280, 318, 87, 31, 5]","[100, 133, 200, 24, 5, 1]",46,100,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11256576,27925309,1717,864480,43691,"[14740, 13719]","[2881, 232]","[2475, 138]",[67],26,45,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],11256576,27925309,1717,864480,42592,[18240],[6797],[4784],,17,17,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4857148,15290289,1342,410812,48108,"[15677, 3280, 1881, 179, 86, 4]","[5495, 138, 566, 37, 9, 1]","[3366, 302, 343, 85, 31, 5]","[101, 135, 210, 23, 6, 0]",58,119,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",4857148,15290289,1342,410812,44792,"[13745, 15286]","[3022, 400]","[2704, 169]",[59],42,77,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],4857148,15290289,1342,410812,42376,[17887],[7700],[4515],,29,29,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",6037157,17215588,636,973802,48510,"[15352, 2832, 1790, 173, 77, 4]","[5580, 129, 564, 38, 12, 1]","[3347, 285, 373, 86, 27, 5]","[95, 131, 40, 23, 6, 0]",54,112,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",6037157,17215588,636,973802,43354,"[14408, 13279]","[3193, 359]","[2574, 154]",[65],36,65,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],6037157,17215588,636,973802,42046,[17894],[7505],[4392],,25,25,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",10175068,13740416,399,797639,48608,"[15274, 3047, 1870, 171, 77, 4]","[5317, 134, 616, 39, 10, 1]","[3425, 309, 362, 90, 30, 6]","[98, 130, 44, 30, 5, 0]",47,101,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",10175068,13740416,399,797639,46182,"[14906, 15419]","[2870, 255]","[2725, 190]",[67],27,47,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],10175068,13740416,399,797639,41733,[18199],[6532],[4775],,18,18,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13202974,10815628,1808,252367,47481,"[14873, 3493, 1852, 184, 84, 4]","[5431, 124, 542, 38, 9, 1]","[3419, 280, 328, 83, 29, 5]","[91, 123, 40, 23, 6, 0]",44,96,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13202974,10815628,1808,252367,44301,"[14037, 14893]","[2796, 208]","[2618, 169]",[62],23,39,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],13202974,10815628,1808,252367,47314,[23782],[6446],[4482],,16,16,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12827097,22903816,1056,733143,46577,"[14337, 3019, 1849, 191, 90, 4]","[5423, 120, 605, 38, 12, 1]","[3349, 305, 328, 88, 32, 5]","[93, 128, 184, 25, 6, 0]",44,96,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12827097,22903816,1056,733143,45342,"[15103, 15175]","[2671, 202]","[2636, 157]",[69],23,39,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],12827097,22903816,1056,733143,55126,[30908],[6822],[4656],,16,16,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7797199,18633738,1542,342690,50297,"[17429, 3358, 1806, 176, 87, 5]","[5624, 140, 723, 40, 10, 1]","[3392, 298, 372, 85, 31, 7]","[98, 154, 47, 26, 5, 0]",49,104,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7797199,18633738,1542,342690,42159,"[12974, 13971]","[3063, 305]","[2566, 233]",[55],30,53,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],7797199,18633738,1542,342690,41575,[16817],[7381],[4598],,21,21,8,True,True
european union,1.0,2,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1046435,39312856,757,181614,57305,"[21580, 6597, 1839, 187, 94, 5]","[5377, 150, 714, 43, 10, 1]","[3373, 282, 484, 83, 30, 5]","[93, 99, 76, 32, 6, 1]",146,258,85,True,True
data.gov,1.0,2,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1046435,39312856,757,181614,87733,"[25896, 34033]","[3426, 967]","[2811, 165]",[52],150,293,25,True,True
TPCH_1,1.0,2,1,8,61,96,0,[61],[3660],[96],1046435,39312856,757,181614,61907,[34409],[10588],[4272],,116,116,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12182584,22784082,1750,160972,47184,"[14634, 3177, 1824, 212, 81, 4]","[5582, 131, 547, 39, 9, 1]","[3460, 277, 295, 85, 29, 5]","[87, 123, 185, 26, 5, 1]",44,96,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12182584,22784082,1750,160972,58867,"[19816, 14269]","[2902, 235]","[2592, 164]",[57],24,41,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],12182584,22784082,1750,160972,40359,[16935],[7035],[4050],,16,16,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7016528,23704550,692,312271,54272,"[19167, 5111, 1892, 171, 78, 5]","[5240, 149, 565, 39, 10, 1]","[3522, 255, 380, 80, 29, 7]","[91, 127, 179, 24, 5, 1]",52,109,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7016528,23704550,692,312271,61044,"[20112, 25689]","[2651, 324]","[2705, 230]",[53],34,61,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],7016528,23704550,692,312271,49648,[26059],[6977],[4311],,22,22,8,True,True
